Subject,Start Date,Start Time,End Date,End Time,Stamp,Category,UID
Matariki,2028-07-14,00:00,2028-07-15,00:00,20220129T042448Z,MATARIKI,20240813T112838-c0IbmXe7tXdkyUat@sohnemann.github.com
Labour Day,2028-10-23,00:00,2028-10-24,00:00,20220129T042448Z,LABOURDAY,20240813T112838-m55AiS3No0sV967x@sohnemann.github.com
Christmas Day,2028-12-25,00:00,2028-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-7vq8WHbzxZnBIZEs@sohnemann.github.com
Boxing Day,2028-12-26,00:00,2028-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-8nRkoHixhO8JvFuW@sohnemann.github.com
Wellington Anniversary,2028-01-24,00:00,2028-01-25,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-gd1jRgkSLXa5ohKN@sohnemann.github.com
Auckland Anniversary,2028-01-31,00:00,2028-02-01,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-rO6WJbwxiBYD68VR@sohnemann.github.com
Nelson Anniversary,2028-01-31,00:00,2028-02-01,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-nwpEbJE6aMKp6let@sohnemann.github.com
Taranaki Anniversary,2028-03-13,00:00,2028-03-14,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-YzqMLKbP1tgqC1kZ@sohnemann.github.com
Otago Anniversary,2028-03-20,00:00,2028-03-21,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-VpIeIilvN6IHoXaO@sohnemann.github.com
Southland Anniversary,2028-04-18,00:00,2028-04-19,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-DQ5dlNcbutYP1PtY@sohnemann.github.com
South Canterbury Anniversary,2028-09-25,00:00,2028-09-26,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-QZj9UodsZ4hIddGY@sohnemann.github.com
Hawke's Bay Anniversary,2028-10-20,00:00,2028-10-21,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-8bkpjQn5RFlNva3M@sohnemann.github.com
Marlborough Anniversary,2028-10-30,00:00,2028-10-31,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-HCxl0Ldwe1xDlIeB@sohnemann.github.com
Canterbury Anniversary,2028-11-17,00:00,2028-11-18,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-bhP1lX6jvv7FY3Ef@sohnemann.github.com
Chatham Islands Anniversary,2028-11-27,00:00,2028-11-28,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-gKkMtWhn6NApsWtU@sohnemann.github.com
Westland Anniversary,2028-12-04,00:00,2028-12-05,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-PXnXrqBrmQCZg8YQ@sohnemann.github.com
New Year's Day,2029-01-01,00:00,2029-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-JDrZubTaom7tDoCh@sohnemann.github.com
Day after New Year's Day,2029-01-02,00:00,2029-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-vIAxrEoKBT39yUMR@sohnemann.github.com
Waitangi Day,2029-02-06,00:00,2029-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-1yePxwG1XgMSvNdG@sohnemann.github.com
Good Friday,2029-03-30,00:00,2029-03-31,00:00,20220129T042448Z,EASTER,20240813T112838-slUUCZM0l3XApHnI@sohnemann.github.com
Easter Monday,2029-04-02,00:00,2029-04-03,00:00,20220129T042448Z,EASTER,20240813T112838-NtedzTQMltUPuvqF@sohnemann.github.com
Anzac Day,2029-04-25,00:00,2029-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-NY5AX7iHxc8yZK6T@sohnemann.github.com
King's Birthday,2029-06-04,00:00,2029-06-05,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-wfNJZIjN5jnUNLER@sohnemann.github.com
Matariki,2029-07-06,00:00,2029-07-07,00:00,20220129T042448Z,MATARIKI,20240813T112838-977Ti5TQry2JMdFw@sohnemann.github.com
Labour Day,2029-10-22,00:00,2029-10-23,00:00,20220129T042448Z,LABOURDAY,20240813T112838-1HSoySg79CEtIQl3@sohnemann.github.com
Christmas Day,2029-12-25,00:00,2029-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-8LdJSgHa5gALdGjS@sohnemann.github.com
Boxing Day,2029-12-26,00:00,2029-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-kusQanDioPkYNYKC@sohnemann.github.com
Wellington Anniversary,2029-01-22,00:00,2029-01-23,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-qczCNwXZoxBKUkYr@sohnemann.github.com
Auckland Anniversary,2029-01-29,00:00,2029-01-30,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-qbqvFmKw0KxmljXT@sohnemann.github.com
Nelson Anniversary,2029-01-29,00:00,2029-01-30,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-5APtQf9sCUJeCLPG@sohnemann.github.com
Taranaki Anniversary,2029-03-12,00:00,2029-03-13,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-x0JQAQSRqgSUIv9Z@sohnemann.github.com
Otago Anniversary,2029-03-26,00:00,2029-03-27,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-6Xrle2nOyi0a94zZ@sohnemann.github.com
Southland Anniversary,2029-04-03,00:00,2029-04-04,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-BtQPqbTACe729bNa@sohnemann.github.com
South Canterbury Anniversary,2029-09-24,00:00,2029-09-25,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-ysxHphncC4BdGDrx@sohnemann.github.com
Hawke's Bay Anniversary,2029-10-19,00:00,2029-10-20,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-8MwMs1eiQj20qNp1@sohnemann.github.com
Marlborough Anniversary,2029-10-29,00:00,2029-10-30,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-7V10WywaJfRZoyON@sohnemann.github.com
Canterbury Anniversary,2029-11-16,00:00,2029-11-17,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-CJHuSSGk0nWNu2jD@sohnemann.github.com
Chatham Islands Anniversary,2029-12-03,00:00,2029-12-04,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-axWcT7Oo5Wtbdx0t@sohnemann.github.com
Westland Anniversary,2029-12-03,00:00,2029-12-04,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-3I3AXUo4vZ6rnkuw@sohnemann.github.com
New Year's Day,2030-01-01,00:00,2030-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-kTbQWyt1nUFshcj9@sohnemann.github.com
Day after New Year's Day,2030-01-02,00:00,2030-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-NHMx1NrhuHMpr3TL@sohnemann.github.com
Waitangi Day,2030-02-06,00:00,2030-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-mb1zfrsX5Zz18e56@sohnemann.github.com
Good Friday,2030-04-19,00:00,2030-04-20,00:00,20220129T042448Z,EASTER,20240813T112838-2Gb5XVAcXTKi1449@sohnemann.github.com
Easter Monday,2030-04-22,00:00,2030-04-23,00:00,20220129T042448Z,EASTER,20240813T112838-biLxLoxRvSjl19pq@sohnemann.github.com
Anzac Day,2030-04-25,00:00,2030-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-fweC1Jg3gxzeNVgT@sohnemann.github.com
King's Birthday,2030-06-03,00:00,2030-06-04,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-gIu9E36OsZ4Hk2Y4@sohnemann.github.com
Matariki,2030-06-21,00:00,2030-06-22,00:00,20220129T042448Z,MATARIKI,20240813T112838-eZ1V0TplU1QmyqFI@sohnemann.github.com
Labour Day,2030-10-28,00:00,2030-10-29,00:00,20220129T042448Z,LABOURDAY,20240813T112838-3lBbryr5LmZbXBH1@sohnemann.github.com
Christmas Day,2030-12-25,00:00,2030-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-eMf2z4QziaFvzEwc@sohnemann.github.com
Boxing Day,2030-12-26,00:00,2030-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-Bu4elKYcAOeKAWjY@sohnemann.github.com
Wellington Anniversary,2030-01-21,00:00,2030-01-22,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-f0YfwCqukPOMPeEl@sohnemann.github.com
Auckland Anniversary,2030-01-28,00:00,2030-01-29,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-h0uqt50ar8BRHYJS@sohnemann.github.com
Nelson Anniversary,2030-02-04,00:00,2030-02-05,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-FT2wYa7OBLej28V1@sohnemann.github.com
Taranaki Anniversary,2030-03-11,00:00,2030-03-12,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-wsh1znoIXsruM0P8@sohnemann.github.com
Otago Anniversary,2030-03-25,00:00,2030-03-26,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-cSDApi7aAPnN6QK3@sohnemann.github.com
Southland Anniversary,2030-04-23,00:00,2030-04-24,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-OMBtt0DUlFU0Wx22@sohnemann.github.com
South Canterbury Anniversary,2030-09-23,00:00,2030-09-24,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-0QP64kHeOCE9rdvq@sohnemann.github.com
Hawke's Bay Anniversary,2030-10-25,00:00,2030-10-26,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-KvggSwbMdfkBgCEa@sohnemann.github.com
Marlborough Anniversary,2030-11-04,00:00,2030-11-05,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-tGuOtH9CEjEkr2ZZ@sohnemann.github.com
Canterbury Anniversary,2030-11-15,00:00,2030-11-16,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-tb4MPuh9hBANUiBD@sohnemann.github.com
Chatham Islands Anniversary,2030-12-02,00:00,2030-12-03,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-101jTvNHpe5cc4oO@sohnemann.github.com
Westland Anniversary,2030-12-02,00:00,2030-12-03,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-uTYd106DZ6Wt5dP1@sohnemann.github.com
New Year's Day,2031-01-01,00:00,2031-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-1ACxxqQlRwas7sGI@sohnemann.github.com
Day after New Year's Day,2031-01-02,00:00,2031-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-oR44GNbjg8DYX3hj@sohnemann.github.com
Waitangi Day,2031-02-06,00:00,2031-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-FMoyZEupqlEX5khu@sohnemann.github.com
Good Friday,2031-04-11,00:00,2031-04-12,00:00,20220129T042448Z,EASTER,20240813T112838-fTHafOpH8Eq5n5uN@sohnemann.github.com
Easter Monday,2031-04-14,00:00,2031-04-15,00:00,20220129T042448Z,EASTER,20240813T112838-jFT5qNYRK5gr44gP@sohnemann.github.com
Anzac Day,2031-04-25,00:00,2031-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-DVtBZNNJZazXODea@sohnemann.github.com
King's Birthday,2031-06-02,00:00,2031-06-03,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-mmHnACIMeSyK4lrD@sohnemann.github.com
Matariki,2031-07-11,00:00,2031-07-12,00:00,20220129T042448Z,MATARIKI,20240813T112838-2ETqWqROc4Vh9sDf@sohnemann.github.com
Labour Day,2031-10-27,00:00,2031-10-28,00:00,20220129T042448Z,LABOURDAY,20240813T112838-qWnnwGBbDV33LShB@sohnemann.github.com
Christmas Day,2031-12-25,00:00,2031-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-cbfBnRirkXLuJwyX@sohnemann.github.com
Boxing Day,2031-12-26,00:00,2031-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-DMxVJyxMzPFfbINk@sohnemann.github.com
Wellington Anniversary,2031-01-20,00:00,2031-01-21,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-ZGe1SD1ysYhDI6bd@sohnemann.github.com
Auckland Anniversary,2031-01-27,00:00,2031-01-28,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-fM4IBU78A65Jdbed@sohnemann.github.com
Nelson Anniversary,2031-02-03,00:00,2031-02-04,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-VMHqyBxUPyof7jZK@sohnemann.github.com
Taranaki Anniversary,2031-03-10,00:00,2031-03-11,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-guucAH6cGs2VBKVD@sohnemann.github.com
Otago Anniversary,2031-03-24,00:00,2031-03-25,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-DZK8y3a0lwTSYQvO@sohnemann.github.com
Southland Anniversary,2031-04-15,00:00,2031-04-16,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-ca899tQqQVP0zD1d@sohnemann.github.com
South Canterbury Anniversary,2031-09-22,00:00,2031-09-23,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-6Vc5aCmWRg0PW0Gl@sohnemann.github.com
Hawke's Bay Anniversary,2031-10-24,00:00,2031-10-25,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-Exi1ZtibODm8Z79o@sohnemann.github.com
Marlborough Anniversary,2031-11-03,00:00,2031-11-04,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-4yxDaH6Y069suXz0@sohnemann.github.com
Canterbury Anniversary,2031-11-14,00:00,2031-11-15,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-36FU3ffusUVFw8V8@sohnemann.github.com
Chatham Islands Anniversary,2031-12-01,00:00,2031-12-02,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-22cHeDLDWZ0YGL64@sohnemann.github.com
Westland Anniversary,2031-12-01,00:00,2031-12-02,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-suVoBSyaDGcUaqMi@sohnemann.github.com
New Year's Day,2032-01-01,00:00,2032-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-ZP3zHBlGeOtRUSAO@sohnemann.github.com
Day after New Year's Day,2032-01-02,00:00,2032-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-tRFL4gh5vLCWsvNy@sohnemann.github.com
Waitangi Day,2032-02-06,00:00,2032-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-7Fm8i9HQISkRDLDg@sohnemann.github.com
Good Friday,2032-03-26,00:00,2032-03-27,00:00,20220129T042448Z,EASTER,20240813T112838-sa5rpZyjKZKlsahR@sohnemann.github.com
Easter Monday,2032-03-29,00:00,2032-03-30,00:00,20220129T042448Z,EASTER,20240813T112838-HrA99jIl1f5NuukT@sohnemann.github.com
Anzac Day,2032-04-25,00:00,2032-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-OnT5UusKGhdrPUiN@sohnemann.github.com
Anzac Day (Mondayised),2032-04-26,00:00,2032-04-27,00:00,20220129T042448Z,ANZACDAY,20240813T112838-BhclXLUWOqgMBZEQ@sohnemann.github.com
King's Birthday,2032-06-07,00:00,2032-06-08,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-t6qL2OybMEVzZcdO@sohnemann.github.com
Matariki,2032-07-02,00:00,2032-07-03,00:00,20220129T042448Z,MATARIKI,20240813T112838-c1cEIR7dshZsraUb@sohnemann.github.com
Labour Day,2032-10-25,00:00,2032-10-26,00:00,20220129T042448Z,LABOURDAY,20240813T112838-X87ND3JJLVWPdMSU@sohnemann.github.com
Christmas Day,2032-12-25,00:00,2032-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-s88nOR3CKhxyRd6P@sohnemann.github.com
Christmas Day (Mondayised),2032-12-27,00:00,2032-12-28,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-gzswIjVijkHSlpf3@sohnemann.github.com
Boxing Day,2032-12-26,00:00,2032-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-BgvBRERQT8Gf56xJ@sohnemann.github.com
Boxing Day (Tuesdayised),2032-12-28,00:00,2032-12-29,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-HMqA4tOeSJNRn91M@sohnemann.github.com
Wellington Anniversary,2032-01-19,00:00,2032-01-20,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-993rM1wyVSF3G2m2@sohnemann.github.com
Auckland Anniversary,2032-01-26,00:00,2032-01-27,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-BzAoPbKwWDjhaMr1@sohnemann.github.com
Nelson Anniversary,2032-02-02,00:00,2032-02-03,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-9Rp4lqomqkUn4u6M@sohnemann.github.com
Taranaki Anniversary,2032-03-08,00:00,2032-03-09,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-BppQqC18pZmTZzAk@sohnemann.github.com
Otago Anniversary,2032-03-22,00:00,2032-03-23,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-TnsxLhtgIVnYrYqk@sohnemann.github.com
Southland Anniversary,2032-03-30,00:00,2032-03-31,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-ghPHSzbTZfUHK2ci@sohnemann.github.com
South Canterbury Anniversary,2032-09-27,00:00,2032-09-28,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-OPTb5XMGbfB1qB2P@sohnemann.github.com
Hawke's Bay Anniversary,2032-10-22,00:00,2032-10-23,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-Fbu2ogDJvUvzBo0Q@sohnemann.github.com
Marlborough Anniversary,2032-11-01,00:00,2032-11-02,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-15g98F4m7rjq8MmL@sohnemann.github.com
Canterbury Anniversary,2032-11-12,00:00,2032-11-13,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-f4Sh1BvacdrJ81lT@sohnemann.github.com
Chatham Islands Anniversary,2032-11-29,00:00,2032-11-30,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-49AhcGTDXLItK80T@sohnemann.github.com
Westland Anniversary,2032-11-29,00:00,2032-11-30,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-A6JVl63F2Tw5ZVhA@sohnemann.github.com
